,prod,price,discount,rating
0,"Dynore - Silver Stainless Steel Chimta, Pakkad, Tong ( Set of 3 )",Rs.  196,"
80% Off
",(36)
1,OFFYX Sponge Holder  Liquid Dispenser Liquid Press Type Pump Dispenser with Sponge Holder for Kitchen Sink Dishwasher 2 in 1,Rs.  152,"
78% Off
",(833)
2,OFFYX - Stainless Steel Silver Coconut Grater ( Pack of 1 ),Rs.  206,"
71% Off
",(89)
3,Bhavyta Non-Scratch Wire Dish Wash Cloth Scrubber ( Set of 12 ),Rs.  154,"
85% Off
",(717)
4,OFFYX hand press chopper Blue Plastic Mannual Chopper 950 ml ( Pack of 1 ),Rs.  179,"
78% Off
",(708)
5,dust n shine Non-Scratch Wire Dish Wash Cloth Scrubber (Pack of 12),Rs.  157,"
55% Off
",(1201)
6,"HOMETALES Compact Manual Handy Chopper - 450 ml, Black",Rs.  157,"
74% Off
",(203)
7,"purple dust 360 degree Rechargeable Electric Lighter for Kitchen Stoves, Candles",Rs.  229,"
77% Off
",(66)
8,iview kitchenware Manual Hand Chopper Green Stainless Steel Mannual Chopper 900 ml ( Pack of 1 ),Rs.  194,"
78% Off
",(291)
9,Handa Stainless Steel Dry Fruits Grater ( Pack of 1 ) - Multicolor,Rs.  128,"
68% Off
",(12)
10,Bhavyta Transparent Glass Oil Spray Dispenser Cooking 200ml Bottle ( Set of 1 ),Rs.  206,"
74% Off
",(110)
11,Bhavyta Silver Stainless Steel Vegetable Fruit Steamer Punching Food Drain Basket ( Set of 1 ),Rs.  211,"
74% Off
",(69)
12,analog kichenware 900 ML Handy Chopper Sea Green Plastic Mannual Chopper 900 ml ( Pack of 1 ),Rs.  252,"
75% Off
",(29)
13,Chopwell Blue Virgin Plastic Momos/Gujiya Maker Machine (Set of 1),Rs.  165,"
76% Off
",(2138)
14,iview kitchenware Black Aluminium Fire & Windproof Energy Saving GAS Saver Stand ( Set of 1 ),Rs.  221,"
78% Off
",(16)
15,Winstar Silver Stainless Steel Dish Racks ( Pack of 1 ),"Rs.  1,090","
61% Off
",(10)
16,Bhavyta Silver Stainless Steel Dishwashing Cleaning Brush Steel Wool Scrubber ( Set of 1 ),Rs.  177,"
78% Off
",(13)
17,MAGICSPOON Black Stainless Steel 2 - Gas Lighter ( Set of 2 ),Rs.  149,"
81% Off
",(11)
18,HOMETALES Chips/French Fries White and Green Plastic Mannual Chopper 300 ml ( Pack of 1 ),Rs.  255,"
74% Off
",(221)
19,"Rolling Egg & lemon Dispenser For 18-24 Eggs, Space-Saving And Durable Storage, Solution With Gravity three Layer Plastic Egg Holder Rack",Rs.  244,"
51% Off
",(44)
